playerid,player,salary,opp,pos,team,proj,floor,ceil
328091,Hayden Hurst,3700,TBB,TE,ATL,9.52,4.8,14.7
982727,Hunter Renfrow,3900,DEN,WR,LVR,8.08,3.3,13.9
1849698,Henry Ruggs,3600,DEN,WR,LVR,5.9,1.1,11.8
36900,Isaiah Ford,3000,BUF,WR,MIA,4.11,0.7,9.0
37011,Isaiah McKenzie,3000,MIA,WR,BUF,7.29,2.4,13.2
328710,Ito Smith,4300,TBB,RB,ATL,6.98,1.6,14.1
982176,Irv Smith,3900,DET,TE,MIN,10.75,5.2,17.0
328735,Ian Thomas,2500,NOS,TE,CAR,3.33,0.5,7.4
328639,Josh Adams,4000,NEP,RB,NYJ,6.78,2.0,12.5
2216284,Jamal Agnew,3000,MIN,WR,DET,2.26,0.31499999999999995,6.6
328461,Jordan Akins,3300,TEN,TE,HOU,8.6,3.8,14.2
328331,Josh Allen,7600,MIA,QB,BUF,15.49,7.3,24.5
35493,Jacoby Brissett,4100,JAC,QB,IND,0.01,-0.2475,3.2
18357,John Brown,3600,MIA,WR,BUF,7.93,3.1,14.5
37009,Jake Butt,2500,LVR,TE,DEN,0.33,-0.16749999999999998,3.4
36851,James Conner,6000,CLE,RB,PIT,9.19,3.2,17.1
11810,Jared Cook,4700,CAR,TE,NO,10.76,5.2,17.0
21710,Jamison Crowder,5000,NEP,WR,NYJ,12.78,6.2,19.4
1844097,J.K. Dobbins,6700,CIN,RB,BAL,11.78,4.2,20.2
16911,Jack Doyle,3000,JAC,TE,IND,5.57,1.8,10.3
472108,Jaeden Graham,2500,TBB,TE,ATL,0.41,-0.14750000000000002,3.6
11793,Jimmy Graham,3600,GBP,TE,CHI,6.28,2.0,11.5
1001683,Jalen Guyton,3400,KCC,WR,LAC,7.58,2.5,13.8
1849725,Justin Herbert,7100,KCC,QB,LAC,18.47,10.3,28.1
981965,Justice Hill,4000,CIN,RB,BAL,0.92,-0.01999999999999999,5.0
36901,Jacob Hollister,3000,SFO,TE,SEA,5.59,1.9,10.4
328913,Justin Jackson,4000,KCC,RB,LAC,1.49,0.1225,6.2
973101,Josh Jacobs,6200,DEN,RB,LVR,17.38,7.3,26.9
21584,Jesse James,2500,MIN,TE,DET,2.48,0.37,6.3
1844306,Justin Jefferson,7600,DET,WR,MIN,20.43,11.7,28.9
1844833,Jerry Jeudy,4200,LVR,WR,DEN,11.24,5.1,18.4
963120,Jakob Johnson,4000,NYJ,RB,NE,1.12,0.030000000000000027,5.4
1844771,Juwan Johnson,3400,CAR,WR,NO,6.09,1.9,11.7
18126,Jarvis Landry,6500,PIT,WR,CLE,14.31,7.1,22.2
18113,Jerick McKinnon,4200,SEA,RB,SF,6.5,2.5,12.4
37006,Jeremy McNichols,4000,HOU,RB,TEN,2.34,0.33499999999999996,7.5
982261,Jakobi Meyers,5000,NYJ,WR,NE,13.94,7.1,21.6
